cpa_id,cluster
21799,1
22798,1
17698,1
17691,1
21809,1
31957,1
17683,1
22115,1
21822,1
14230,1
21854,1
17687,1
22422,1
17612,1
17692,1
22736,1
31963,0
17714,1
17723,1
18092,1
14232,1
14225,1
17624,1
17680,0
17613,1
18093,1
17590,1
17591,1
17737,1
17589,1
17593,1
13838,0
17596,1
21777,1
17592,1
17625,1
17724,1
25956,1
17595,1
18032,1
17588,1
17598,1
19339,0
17594,0
17587,1
17601,1
17684,0
17579,0
19338,0
17647,1
18021,0
17597,0
17626,1
22171,0
17578,0
18022,0
22107,0
31954,1
18033,0
18090,0
17736,1
22651,1
25957,1
17614,0
17581,0
17603,0
17602,0
18025,0
19515,0
17584,0
17725,0
18034,0
18011,0
31968,1
17585,0
17570,0
17611,0
18024,0
17586,0
18016,0
17600,0
17583,0
18026,0
17616,0
18017,0
17582,0
17638,0
17636,0
18012,0
17618,0
18035,0
21791,0
17716,0
17617,0
18036,0
17646,0
21980,1
17637,0
19555,0
18023,0
17580,0
17627,0
17652,0
18013,0
17604,0
18009,0
18010,0
17635,0
17605,0
17569,0
17726,0
17630,0
17623,0
18109,0
18004,0
17748,0
17574,0
17688,0
17640,0
18136,0
17645,0
17715,0
17575,0
17599,0
17615,0
18155,0
18014,0
18152,0
28347,0
18003,0
18133,0
26611,0
18153,0
18132,0
17639,0
18134,0
26600,0
18135,0
17571,0
17727,0
25955,0
16972,0
18018,0
18169,0
17573,0
18137,0
17998,0
18151,0
18154,0
17619,0
17690,0
17739,0
26593,0
21836,0
17644,0
17761,0
17760,0
16973,0
16935,0
17648,0
18027,0
18156,0
18037,0
26596,0
18178,0
18005,0
26595,0
16994,0
18157,0
17999,0
18000,0
18110,0
26592,0
16937,0
18015,0
18168,0
17632,0
19633,0
17694,3
17264,3
17697,3
17701,3
17712,3
1720,3
15474,3
17706,3
18099,3
17682,3
17859,3
1546,3
17919,2
1221,3
17918,2
17721,3
15510,3
17807,3
17702,2
11630,2
1287,3
17733,3
17744,3
1601,3
17887,2
15485,2
17889,2
17906,2
1440,3
17853,2
1617,3
1682,3
17904,2
17791,3
17908,2
1413,2
16753,3
1695,2
11631,2
13495,2
17686,2
1622,2
1567,2
17270,3
39416,2
1514,2
1366,2
1588,2
22439,2
1493,2
15588,2
1512,2
1604,2
17705,3
1679,2
17307,3
17713,2
17281,3
36978,3
17711,2
18091,2
1738,3
17784,3
17722,2
13513,2
17720,2
17732,2
17758,3
39417,2
39409,2
17743,2
17765,3
17693,2
1628,2
17305,3
17313,3
17766,3
16867,3
17311,3
18100,2
17306,3
17786,2
1486,2
17261,2
17312,2
17814,3
17799,2
17681,2
34730,2
18101,2
36920,2
17289,2
17772,2
17301,2
17700,2
17316,2
1606,2
34907,2
16868,3
17310,2
16870,3
12812,2
17785,2
17299,2
17745,2
1591,2
1574,3
1668,2
1446,2
17773,2
1568,3
1511,2
1260,2
17835,3
17291,2
17734,2
1030,2
17707,2
17280,2
1723,3
1517,2
1665,3
1662,3
17290,2
17783,2
17302,2
17300,2
16752,2
1563,2
1448,2
1538,2
17800,2
17696,2
36956,2
22648,2
1599,2
17806,2
1585,2
17834,2
17805,2
17874,2
17309,2
17314,2
7402,2
17297,2
17757,2
17910,2
17846,2
16839,2
17860,2
17023,2
17730,2
1624,2
18102,2
1430,2
17845,2
17820,2
17928,2
17740,2
17292,2
17948,2
17759,2
17729,2
17779,2
1704,2
17752,2
17890,2
17909,2
17731,2
18105,2
18096,2
1733,2
1627,2
17888,2
1449,2
15838,2
15837,2
17326,2
15849,2
22642,2
1552,2
17861,2
17924,2
18172,4
18170,4
18002,4
18029,5
18173,4
26575,4
18138,4
